No_powermodes,RunNo,Val_MAPE,Sampled_powermodes
50,0,0.16120133590563324,"['10_1344000_522750000_3199000000', '2_268800_930750000_3199000000', '6_1958400_828750000_2133000000', '12_1958400_216750000_204000000', '4_2112000_1134750000_665600000', '12_1651200_1032750000_2133000000', '2_883200_1236750000_204000000', '8_576000_1300500000_665600000', '10_2201600_114750000_3199000000', '10_2112000_420750000_665600000', '2_1036800_114750000_3199000000', '6_2201600_624750000_2133000000', '12_268800_726750000_204000000', '8_1036800_1236750000_204000000', '4_1804800_522750000_665600000', '10_1344000_930750000_3199000000', '4_1651200_828750000_204000000', '10_576000_318750000_2133000000', '8_883200_1134750000_204000000', '10_576000_1134750000_3199000000', '2_729600_1032750000_665600000', '8_1804800_318750000_665600000', '10_1344000_828750000_2133000000', '8_1036800_828750000_2133000000', '2_1190400_1300500000_2133000000', '2_1344000_930750000_3199000000', '4_883200_522750000_204000000', '12_2201600_216750000_204000000', '12_883200_522750000_2133000000', '10_729600_726750000_3199000000', '12_422400_114750000_204000000', '8_2112000_114750000_3199000000', '4_576000_216750000_204000000', '10_729600_1134750000_665600000', '8_1804800_420750000_665600000', '8_1497600_930750000_2133000000', '4_1804800_1134750000_3199000000', '4_1651200_114750000_2133000000', '4_883200_114750000_204000000', '2_2201600_1134750000_3199000000', '10_1497600_1032750000_2133000000', '12_1036800_420750000_665600000', '2_1958400_522750000_665600000', '10_1651200_1134750000_3199000000', '6_1344000_216750000_3199000000', '2_2112000_1032750000_3199000000', '12_2201600_216750000_3199000000', '12_2112000_624750000_3199000000', '4_1344000_420750000_665600000', '4_2201600_114750000_204000000']"
50,1,0.13216856105043065,"['10_1344000_624750000_2133000000', '8_2201600_930750000_665600000', '8_1190400_420750000_204000000', '2_1497600_420750000_3199000000', '4_422400_930750000_3199000000', '6_729600_1300500000_2133000000', '12_576000_1300500000_204000000', '8_883200_624750000_204000000', '12_576000_216750000_665600000', '12_729600_1134750000_2133000000', '2_883200_1134750000_2133000000', '12_1958400_726750000_3199000000', '8_576000_1134750000_2133000000', '12_1036800_420750000_204000000', '6_1344000_1134750000_665600000', '4_576000_1300500000_665600000', '4_268800_420750000_665600000', '10_1804800_318750000_3199000000', '8_2112000_624750000_3199000000', '10_2112000_1032750000_3199000000', '2_1958400_1300500000_3199000000', '4_1651200_930750000_665600000', '4_2201600_522750000_3199000000', '10_1958400_828750000_204000000', '8_422400_1032750000_665600000', '10_2112000_1300500000_2133000000', '4_422400_216750000_3199000000', '8_1651200_216750000_3199000000', '2_1190400_726750000_665600000', '4_1497600_726750000_665600000', '12_1190400_1134750000_204000000', '12_1497600_1236750000_3199000000', '10_1497600_930750000_2133000000', '10_729600_930750000_204000000', '12_729600_522750000_204000000', '8_422400_114750000_665600000', '12_883200_318750000_3199000000', '2_729600_318750000_3199000000', '4_1804800_726750000_665600000', '4_2201600_726750000_3199000000', '4_1651200_1300500000_204000000', '12_2201600_1032750000_204000000', '12_1497600_1236750000_204000000', '8_268800_522750000_2133000000', '10_1036800_114750000_665600000', '4_576000_624750000_204000000', '8_729600_420750000_3199000000', '6_1036800_522750000_665600000', '2_576000_1236750000_204000000', '10_1036800_216750000_665600000']"
50,2,0.14098946160075332,"['6_2201600_828750000_204000000', '8_729600_318750000_3199000000', '4_729600_522750000_2133000000', '4_1804800_216750000_2133000000', '6_1190400_1134750000_3199000000', '12_1651200_1236750000_665600000', '12_1344000_420750000_3199000000', '2_1344000_930750000_3199000000', '4_1344000_1236750000_665600000', '4_1190400_522750000_665600000', '2_1958400_420750000_204000000', '12_1190400_318750000_204000000', '4_1344000_522750000_2133000000', '2_2201600_930750000_665600000', '4_1190400_420750000_2133000000', '8_2112000_828750000_204000000', '6_422400_1134750000_665600000', '10_268800_318750000_3199000000', '4_1958400_1032750000_3199000000', '2_268800_828750000_204000000', '10_1804800_1134750000_2133000000', '4_1958400_1134750000_204000000', '6_1036800_930750000_665600000', '6_1497600_726750000_204000000', '4_1651200_930750000_665600000', '8_422400_930750000_204000000', '10_729600_726750000_665600000', '12_1344000_1134750000_3199000000', '2_1958400_522750000_2133000000', '2_729600_1134750000_3199000000', '12_883200_828750000_665600000', '8_1804800_216750000_2133000000', '8_1190400_930750000_665600000', '6_1651200_930750000_3199000000', '2_1344000_522750000_665600000', '8_1036800_318750000_2133000000', '2_1344000_930750000_204000000', '4_576000_828750000_3199000000', '6_729600_114750000_3199000000', '12_1036800_1300500000_2133000000', '4_2201600_114750000_2133000000', '12_2112000_1134750000_665600000', '4_2201600_1300500000_2133000000', '8_1651200_1134750000_665600000', '4_576000_930750000_204000000', '12_1958400_318750000_665600000', '10_2112000_216750000_204000000', '2_729600_1236750000_3199000000', '8_268800_930750000_3199000000', '4_1190400_420750000_665600000']"
50,3,0.1842324115013012,"['2_1651200_216750000_3199000000', '12_268800_1300500000_204000000', '4_1804800_1236750000_3199000000', '8_576000_216750000_665600000', '8_1651200_318750000_2133000000', '8_2112000_726750000_204000000', '4_1036800_1300500000_2133000000', '4_422400_930750000_204000000', '8_2112000_114750000_665600000', '8_2112000_1032750000_665600000', '10_1958400_318750000_2133000000', '12_1190400_1236750000_2133000000', '12_1651200_1134750000_665600000', '4_1190400_318750000_3199000000', '8_883200_318750000_3199000000', '12_1958400_1236750000_204000000', '8_576000_828750000_204000000', '4_883200_1134750000_3199000000', '2_576000_828750000_204000000', '6_268800_1236750000_204000000', '2_268800_420750000_204000000', '10_1036800_318750000_665600000', '8_1190400_1300500000_204000000', '8_2201600_522750000_204000000', '2_1651200_522750000_204000000', '10_2201600_726750000_665600000', '4_1804800_114750000_665600000', '10_1651200_624750000_665600000', '12_2112000_624750000_204000000', '2_1651200_930750000_2133000000', '12_2201600_1300500000_665600000', '12_1190400_216750000_204000000', '12_1651200_522750000_204000000', '8_1497600_624750000_3199000000', '10_729600_1300500000_665600000', '12_576000_930750000_204000000', '12_1497600_1236750000_2133000000', '6_576000_726750000_665600000', '6_576000_1032750000_2133000000', '8_1497600_930750000_204000000', '4_1190400_1300500000_3199000000', '10_1958400_930750000_204000000', '2_1804800_624750000_3199000000', '12_268800_726750000_204000000', '8_1344000_522750000_3199000000', '8_1958400_726750000_3199000000', '2_576000_828750000_2133000000', '4_576000_522750000_665600000', '10_729600_420750000_2133000000', '12_268800_624750000_3199000000']"
50,4,0.1352508184226076,"['12_576000_1032750000_3199000000', '10_1190400_1236750000_3199000000', '8_422400_114750000_3199000000', '6_1036800_114750000_665600000', '6_729600_624750000_665600000', '6_1497600_1300500000_204000000', '4_1344000_1236750000_665600000', '2_729600_522750000_665600000', '8_1190400_1032750000_665600000', '4_1651200_726750000_665600000', '2_576000_1032750000_665600000', '12_1804800_318750000_665600000', '4_729600_420750000_3199000000', '4_2201600_318750000_2133000000', '12_1036800_216750000_3199000000', '6_2112000_1236750000_3199000000', '8_2112000_1300500000_665600000', '8_1036800_420750000_665600000', '10_1497600_522750000_3199000000', '2_1036800_1134750000_204000000', '10_729600_522750000_204000000', '10_2201600_726750000_204000000', '10_1804800_420750000_204000000', '10_422400_726750000_665600000', '4_1497600_930750000_204000000', '6_2112000_1236750000_2133000000', '10_2201600_114750000_204000000', '6_1497600_114750000_665600000', '12_883200_624750000_665600000', '2_1958400_114750000_3199000000', '6_1497600_1134750000_204000000', '10_2112000_828750000_3199000000', '4_2201600_216750000_665600000', '6_268800_1134750000_2133000000', '2_1497600_1236750000_3199000000', '4_1036800_624750000_204000000', '2_576000_1134750000_3199000000', '4_883200_318750000_2133000000', '8_883200_624750000_2133000000', '6_1344000_828750000_204000000', '12_1497600_726750000_204000000', '12_1190400_1032750000_665600000', '4_1958400_420750000_204000000', '2_883200_1300500000_3199000000', '4_422400_114750000_665600000', '8_1344000_216750000_204000000', '10_422400_1032750000_2133000000', '10_2112000_726750000_2133000000', '12_1190400_1134750000_2133000000', '8_883200_1032750000_2133000000']"
50,5,0.1308448881480638,"['10_1344000_1032750000_2133000000', '4_1344000_828750000_665600000', '10_1036800_930750000_3199000000', '8_2201600_930750000_665600000', '8_2112000_1032750000_204000000', '4_1651200_1134750000_2133000000', '8_1497600_318750000_665600000', '6_576000_420750000_204000000', '2_576000_114750000_204000000', '2_1651200_1300500000_204000000', '8_2112000_930750000_2133000000', '6_1497600_1236750000_3199000000', '10_1497600_930750000_665600000', '12_2201600_726750000_204000000', '4_883200_1032750000_3199000000', '4_1958400_318750000_3199000000', '10_2112000_318750000_2133000000', '12_729600_1300500000_204000000', '6_1190400_624750000_3199000000', '12_422400_624750000_3199000000', '12_2112000_930750000_3199000000', '4_1036800_1300500000_665600000', '8_1344000_1032750000_3199000000', '8_422400_1236750000_665600000', '8_422400_420750000_665600000', '6_1804800_930750000_204000000', '8_2201600_114750000_204000000', '4_729600_930750000_665600000', '6_1036800_930750000_2133000000', '8_1958400_1300500000_665600000', '12_1036800_318750000_2133000000', '12_1804800_114750000_204000000', '4_2201600_1032750000_2133000000', '10_2201600_522750000_665600000', '6_729600_1032750000_2133000000', '12_1497600_420750000_2133000000', '12_883200_216750000_204000000', '4_422400_1300500000_665600000', '4_422400_318750000_2133000000', '6_1804800_318750000_2133000000', '4_422400_828750000_665600000', '2_268800_930750000_3199000000', '12_883200_1236750000_3199000000', '4_422400_1300500000_204000000', '2_729600_930750000_204000000', '8_729600_1134750000_3199000000', '12_2201600_726750000_2133000000', '2_1958400_1236750000_3199000000', '8_1804800_1300500000_3199000000', '2_1344000_1236750000_3199000000']"
50,6,0.16764051126161358,"['12_268800_624750000_665600000', '2_268800_420750000_3199000000', '6_422400_114750000_204000000', '10_1804800_114750000_204000000', '4_268800_1300500000_204000000', '8_883200_1300500000_204000000', '10_2112000_114750000_2133000000', '12_883200_828750000_204000000', '6_1958400_1134750000_3199000000', '12_729600_828750000_3199000000', '12_1804800_522750000_2133000000', '2_729600_420750000_665600000', '8_1190400_1032750000_204000000', '4_576000_1300500000_2133000000', '6_1958400_420750000_204000000', '2_1190400_930750000_2133000000', '8_729600_1300500000_665600000', '4_1804800_1300500000_204000000', '6_1036800_420750000_2133000000', '8_268800_318750000_204000000', '4_1651200_1134750000_204000000', '12_2112000_624750000_3199000000', '8_1036800_726750000_2133000000', '4_2201600_930750000_204000000', '12_1651200_114750000_665600000', '4_1036800_1300500000_665600000', '4_2201600_828750000_3199000000', '2_1958400_828750000_2133000000', '4_1036800_420750000_665600000', '10_1497600_114750000_204000000', '2_729600_624750000_2133000000', '10_1344000_726750000_204000000', '4_1190400_318750000_2133000000', '4_268800_1134750000_3199000000', '2_883200_216750000_3199000000', '8_576000_522750000_665600000', '2_1958400_726750000_665600000', '4_1958400_114750000_665600000', '2_1497600_726750000_3199000000', '4_883200_828750000_2133000000', '4_1804800_1134750000_204000000', '12_2112000_1300500000_2133000000', '6_1190400_1236750000_3199000000', '10_2201600_624750000_2133000000', '4_1344000_114750000_3199000000', '10_1497600_828750000_204000000', '10_1344000_1134750000_204000000', '8_1804800_114750000_2133000000', '8_1804800_1134750000_665600000', '12_1344000_216750000_204000000']"
50,7,0.14833103696936245,"['10_1036800_930750000_2133000000', '8_1344000_1134750000_204000000', '6_1344000_828750000_3199000000', '10_576000_1236750000_2133000000', '4_883200_1134750000_204000000', '8_1190400_930750000_2133000000', '8_1958400_216750000_204000000', '10_1804800_1032750000_2133000000', '12_1190400_216750000_2133000000', '10_422400_216750000_2133000000', '2_576000_726750000_3199000000', '6_1190400_522750000_665600000', '4_1344000_420750000_204000000', '2_1958400_114750000_204000000', '8_883200_318750000_2133000000', '4_1190400_114750000_3199000000', '8_1651200_1300500000_3199000000', '4_1497600_930750000_204000000', '12_883200_624750000_3199000000', '2_1958400_726750000_3199000000', '6_1190400_930750000_665600000', '10_1344000_1134750000_3199000000', '8_2201600_420750000_665600000', '8_2201600_1134750000_665600000', '10_1804800_828750000_3199000000', '6_1958400_1300500000_2133000000', '10_1344000_624750000_204000000', '12_1804800_624750000_2133000000', '4_2201600_726750000_665600000', '2_2201600_624750000_665600000', '6_576000_828750000_204000000', '8_1497600_1134750000_2133000000', '12_268800_930750000_204000000', '12_883200_930750000_2133000000', '10_1497600_114750000_2133000000', '6_1497600_930750000_2133000000', '12_1958400_828750000_2133000000', '4_729600_318750000_204000000', '6_268800_930750000_665600000', '2_2201600_1236750000_204000000', '2_883200_522750000_3199000000', '2_1804800_1236750000_2133000000', '10_1651200_624750000_665600000', '2_1958400_930750000_2133000000', '8_422400_726750000_2133000000', '12_1036800_930750000_665600000', '8_2112000_828750000_665600000', '10_1651200_828750000_665600000', '10_1651200_726750000_665600000', '10_1651200_318750000_665600000']"
50,8,0.14184477070694856,"['2_1036800_1134750000_3199000000', '8_1036800_1236750000_3199000000', '4_576000_1236750000_3199000000', '4_883200_1300500000_3199000000', '2_268800_624750000_204000000', '10_883200_216750000_665600000', '4_1036800_1300500000_3199000000', '6_1344000_318750000_2133000000', '12_1036800_1134750000_3199000000', '12_883200_114750000_665600000', '10_1190400_726750000_2133000000', '12_1190400_216750000_204000000', '12_1958400_930750000_665600000', '8_422400_1134750000_3199000000', '8_1958400_1236750000_3199000000', '10_1344000_624750000_3199000000', '8_2201600_930750000_665600000', '12_1190400_726750000_3199000000', '8_422400_1134750000_2133000000', '6_422400_216750000_2133000000', '2_576000_216750000_3199000000', '10_1497600_318750000_204000000', '8_576000_1134750000_2133000000', '6_1497600_726750000_2133000000', '12_2112000_726750000_2133000000', '6_1804800_1032750000_204000000', '8_1651200_726750000_204000000', '8_1036800_522750000_665600000', '2_1036800_114750000_665600000', '6_883200_1134750000_2133000000', '6_422400_828750000_204000000', '10_1497600_624750000_665600000', '2_1651200_318750000_2133000000', '8_729600_726750000_3199000000', '4_2201600_1236750000_204000000', '10_1036800_1300500000_204000000', '10_1344000_930750000_665600000', '10_576000_522750000_3199000000', '6_1036800_828750000_3199000000', '6_422400_420750000_665600000', '12_1804800_1236750000_3199000000', '2_1804800_624750000_665600000', '6_1804800_828750000_204000000', '12_1190400_624750000_665600000', '2_2201600_624750000_2133000000', '4_1497600_1300500000_665600000', '2_268800_624750000_3199000000', '10_422400_216750000_204000000', '6_883200_930750000_3199000000', '2_729600_1134750000_2133000000']"
50,9,0.11932913338048927,"['8_1036800_1032750000_204000000', '6_1651200_420750000_204000000', '10_1804800_1134750000_2133000000', '4_2201600_318750000_665600000', '8_1344000_522750000_2133000000', '4_729600_1300500000_665600000', '4_1958400_318750000_3199000000', '6_729600_1300500000_2133000000', '12_883200_930750000_3199000000', '10_1344000_1300500000_3199000000', '12_2112000_1134750000_2133000000', '10_422400_828750000_3199000000', '4_1344000_522750000_665600000', '8_1651200_1032750000_204000000', '6_1804800_420750000_3199000000', '10_1804800_420750000_2133000000', '10_883200_726750000_204000000', '2_729600_1236750000_665600000', '10_1958400_522750000_665600000', '8_576000_1236750000_665600000', '6_2112000_114750000_2133000000', '4_1651200_1134750000_2133000000', '8_422400_1134750000_3199000000', '6_576000_318750000_3199000000', '8_576000_624750000_3199000000', '6_1804800_420750000_665600000', '6_2201600_522750000_204000000', '6_1497600_114750000_204000000', '12_1958400_1300500000_204000000', '8_1651200_1236750000_204000000', '2_2201600_1300500000_3199000000', '12_1497600_828750000_2133000000', '2_422400_1236750000_2133000000', '2_1497600_114750000_665600000', '6_1036800_930750000_204000000', '2_576000_114750000_204000000', '2_729600_522750000_204000000', '2_268800_1300500000_3199000000', '10_2201600_624750000_204000000', '8_1497600_828750000_2133000000', '8_1804800_318750000_2133000000', '2_1344000_624750000_665600000', '2_1651200_522750000_665600000', '12_268800_624750000_665600000', '10_1036800_216750000_2133000000', '2_1651200_1032750000_2133000000', '2_268800_1300500000_204000000', '12_883200_726750000_665600000', '6_1190400_420750000_2133000000', '2_2112000_420750000_204000000']"
